Pcode,Locality,State,Country
1235,SYDNEY SOUTH,NSW,AU
1236,HAYMARKET,NSW,AU
1237,HAYMARKET,NSW,AU
1238,HAYMARKET,NSW,AU
1239,HAYMARKET,NSW,AU
1240,HAYMARKET,NSW,AU
1291,SYDNEY,NSW,AU
1292,SYDNEY,NSW,AU
1293,SYDNEY,NSW,AU
1294,SYDNEY,NSW,AU
1295,SYDNEY,NSW,AU
1296,SYDNEY,NSW,AU
1297,SYDNEY,NSW,AU
1298,SYDNEY,NSW,AU
1299,SYDNEY,NSW,AU
1300,DARLINGHURST,NSW,AU
1311,EASTERN SUBURBS MC,NSW,AU
1312,EASTERN SUBURBS MC,NSW,AU
1313,EASTERN SUBURBS MC,NSW,AU
1314,EASTERN SUBURBS MC,NSW,AU
1315,EASTERN SUBURBS MC,NSW,AU
1316,EASTERN SUBURBS MC,NSW,AU
1317,EASTERN SUBURBS MC,NSW,AU
1318,EASTERN SUBURBS MC,NSW,AU
1319,EASTERN SUBURBS MC,NSW,AU
1320,EASTERN SUBURBS MC,NSW,AU
1321,EASTERN SUBURBS MC,NSW,AU
1322,EASTERN SUBURBS MC,NSW,AU
1323,EASTERN SUBURBS MC,NSW,AU
1324,EASTERN SUBURBS MC,NSW,AU
1325,EASTERN SUBURBS MC,NSW,AU
1326,EASTERN SUBURBS MC,NSW,AU
1327,EASTERN SUBURBS MC,NSW,AU
1328,EASTERN SUBURBS MC,NSW,AU
1329,EASTERN SUBURBS MC,NSW,AU
1330,EASTERN SUBURBS MC,NSW,AU
1331,EASTERN SUBURBS MC,NSW,AU
1332,EASTERN SUBURBS MC,NSW,AU
1333,EASTERN SUBURBS MC,NSW,AU
1334,EASTERN SUBURBS MC,NSW,AU
1335,POTTS POINT,NSW,AU
1340,KINGS CROSS,NSW,AU
1350,WOOLLAHRA,NSW,AU
1355,BONDI JUNCTION,NSW,AU
1360,DOUBLE BAY,NSW,AU
1391,EASTERN SUBURBS MC,NSW,AU
1401,BROADWAY,NSW,AU
1416,SOUTHERN SUBURBS MC,NSW,AU
1419,SOUTHERN SUBURBS MC,NSW,AU
1420,STRAWBERRY HILLS,NSW,AU
1421,STRAWBERRY HILLS,NSW,AU
1422,STRAWBERRY HILLS,NSW,AU
1423,STRAWBERRY HILLS,NSW,AU
1424,STRAWBERRY HILLS,NSW,AU
1425,STRAWBERRY HILLS,NSW,AU
1426,STRAWBERRY HILLS,NSW,AU
1427,STRAWBERRY HILLS,NSW,AU
1428,STRAWBERRY HILLS,NSW,AU
1429,STRAWBERRY HILLS,NSW,AU
1430,EVELEIGH,NSW,AU
1435,ALEXANDRIA,NSW,AU
1440,WATERLOO,NSW,AU
1445,ROSEBERY,NSW,AU
1450,CAMPERDOWN,NSW,AU
1455,BOTANY,NSW,AU
1460,MASCOT,NSW,AU
1465,KENSINGTON,NSW,AU
1466,UNSW SYDNEY,NSW,AU
1470,DRUMMOYNE,NSW,AU
1475,MARRICKVILLE,NSW,AU
1480,KINGSGROVE,NSW,AU
1481,HURSTVILLE BC,NSW,AU
1484,KINGSGROVE DC,NSW,AU
1485,KOGARAH,NSW,AU
1487,KOGARAH,NSW,AU
1490,MIRANDA,NSW,AU
1493,HURSTVILLE,NSW,AU
1495,CARINGBAH,NSW,AU
1499,SUTHERLAND,NSW,AU
1515,WEST CHATSWOOD,NSW,AU
1560,NORTHBRIDGE,NSW,AU
1565,MILSONS POINT,NSW,AU
1570,ARTARMON,NSW,AU
1582,CROWS NEST,NSW,AU
1585,CROWS NEST,NSW,AU
1590,ST LEONARDS,NSW,AU
1595,LANE COVE,NSW,AU
1597,LANE COVE,NSW,AU
1602,LANE COVE DC,NSW,AU
1630,HORNSBY,NSW,AU
1635,HORNSBY WESTFIELD,NSW,AU
1639,FRENCHS FOREST,NSW,AU
1640,FRENCHS FOREST,NSW,AU
1655,MANLY,NSW,AU
1658,MONA VALE,NSW,AU
1660,MONA VALE,NSW,AU
1670,NORTH RYDE BC,NSW,AU
1671,NORTH RYDE,NSW,AU
1675,GLADESVILLE,NSW,AU
1680,RYDE,NSW,AU
1685,WEST RYDE,NSW,AU
1690,NORTHERN SUBURBS MC,NSW,AU
1691,NORTHERN SUBURBS MC,NSW,AU
1692,NORTHERN SUBURBS MC,NSW,AU
1693,NORTHERN SUBURBS MC,NSW,AU
1694,NORTHERN SUBURBS MC,NSW,AU
1695,NORTHERN SUBURBS MC,NSW,AU
1696,NORTHERN SUBURBS MC,NSW,AU
